raw_name,canonical_name,match_type,score
01 Ai,01,FALLBACK,
0xkitkat,0xkitkat,FALLBACK,
0xsero,0xsero,FALLBACK,
1qwsd,1qwsd,FALLBACK,
24yearsold,24yearsold,FALLBACK,
2i,2i,FALLBACK,
2noise,2noise,FALLBACK,
3d Arena,3d Arena,FALLBACK,
3daigc,3daigc,FALLBACK,
52hz,52hz,FALLBACK,
7vivek,7vivek,FALLBACK,
Aadnk,Aadnk,FALLBACK,
Aakashb95,Aakashb95,FALLBACK,
Aaryank,Aaryank,FALLBACK,
Aayushraina21,Aayushraina21,FALLBACK,
Ab0,Ab0,FALLBACK,
Abacusai,Abacusai,FALLBACK,
Abby711,Abby711,FALLBACK,
Abdoulayegk,Abdoulayegk,FALLBACK,
Abdul9999,Abdul9999,FALLBACK,
Abdulaziz Alangarri,Abdulaziz Alangarri,FALLBACK,
Abdulsamod,Abdulsamod,FALLBACK,
Abhi12ravi,Abhi12ravi,FALLBACK,
Abhi488,Abhi488,FALLBACK,
Abhibisht89,Abhibisht89,FALLBACK,
Abhilash1910,Abhilash1910,FALLBACK,
Abhilashvj,Abhilashvj,FALLBACK,
Abidlabs,Abidlabs,FALLBACK,
Abiray,Abiray,FALLBACK,
Abnerh,Abnerh,FALLBACK,
Ace Step,Ace Step,FALLBACK,
Adalbertojunior,Adalbertojunior,FALLBACK,
Adamgustavsson,Adamgustavsson,FALLBACK,
Adept,Adept,FALLBACK,
Adi5461,Adi5461,FALLBACK,
Adithyask,Adithyask,FALLBACK,
Aditi2222,Aditi2222,FALLBACK,
Adorkin,Adorkin,FALLBACK,
Adrianmoses,Adrianmoses,FALLBACK,
Adrxtractor,Adrxtractor,FALLBACK,
Advinio,Advinio,FALLBACK,
Afcruzs,Afcruzs,FALLBACK,
Afry South,Afry South,FALLBACK,
Agent Memory Leaderboard,Agent Memory Leaderboard,FALLBACK,
Agents Course,Agents Course,FALLBACK,
Agueroooooooooo,Agueroooooooooo,FALLBACK,
Agungbesti,Agungbesti,FALLBACK,
Ahmedssoliman,Ahmedssoliman,FALLBACK,
