schemaVersion,recordType,source.name,source.url,content.title,content.published_date,collectedAt
1.0,NEWS,The Verge AI,https://www.theverge.com/gadgets/980064/sony-a7r-vi-6-hands-on-impressions-review,We’re reaching peak camera with the Sony A7R VI,2026-08-15T12:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/tech/980428/end-oak-street-pixel-11-lanterns-installer,The surprise must-see movie of the summer,2026-08-15T12:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/tech/980359/ground-truth-justin-blinder-housing-affordable-bike-pedal,"When housing is unaffordable, this artist’s device makes pedaling harder",2026-08-15T11:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/gadgets/980547/samsung-galaxy-h1-over-ear-headphones,Samsung has new Galaxy headphones in the works,2026-08-14T19:18:45Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/tech/979996/best-laptops-students-middle-high-school,A RAMageddon guide to back-to-school laptop shopping,2026-08-14T18:32:47Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/transportation/979807/lamborghini-revuelto-sv-specs-performance,Lamborghini’s flagship Revuelto levels up with SV trim,2026-08-14T18:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/entertainment/979925/the-x-files-chris-carter-vrach-frankenshteyn-interview-hulu,The X-Files creator Chris Carter wanted to make a more horrific movie,2026-08-14T18:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/tech/980467/google-pixel-11-camera-looks-older-phones,Google&#8217;s best new camera feature is only for the Pixel 11 series,2026-08-14T17:34:14Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/podcast/980367/instagram-logo-new-zuckerberg-ai-vergecast,Mark Zuckerberg has an Instagzam,2026-08-14T16:54:16Z,2026-08-15T12:29:02Z
1.0,NEWS,The Verge AI,https://www.theverge.com/tech/980416/google-gemini-ai-watermarks-removal,You can now turn off Google Gemini&#8217;s visible watermarks,2026-08-14T16:39:32Z,2026-08-15T12:29:02Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/14/google-will-now-allow-users-to-remove-visible-watermark-from-its-ai-generations/,Google will now allow users to remove visible watermark from its AI generations,2026-08-14T16:13:40Z,2026-08-15T12:29:02Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/video/does-mark-zuckerberg-really-believe-ai-is-for-everyone/,Does Mark Zuckerberg really believe AI is ‘for everyone’?,2026-08-14T15:43:28Z,2026-08-15T12:29:02Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/14/kog-is-going-deeper-to-squeeze-more-inference-out-of-gpus/,Kog is going deeper to squeeze more inference out of GPUs,2026-08-14T14:50:11Z,2026-08-15T12:29:02Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/14/hyperscalers-might-regret-embracing-natural-gas-if-new-forecast-proves-correct/,Hyperscalers might regret embracing natural gas if new forecast proves correct,2026-08-14T14:05:00Z,2026-08-15T12:29:02Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/podcast/metas-open-ai-and-a-250m-deal-gone-very-wrong/,"Meta’s ‘open’ AI, and a $250M deal gone very wrong",2026-08-14T14:00:00Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/science/2026/08/so-much-solar-digging-into-the-list-of-every-us-power-plant-that-went-online-this-year/,So much solar: Digging into the list of every US power plant that went online this year,2026-08-15T11:09:57Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/security/2026/08/vulnerability-giving-attackers-full-control-of-macs-is-under-active-exploitation/,Vulnerability giving attackers full control of Macs is under active exploitation,2026-08-14T18:32:14Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/gadgets/2026/08/first-test-flight-of-largest-all-electric-aircraft-used-just-5-of-electricity/,First test flight of largest all-electric aircraft used just $5 of electricity,2026-08-14T18:00:23Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/tech-policy/2026/08/suspecting-court-of-using-ai-man-injected-prompts-in-filings-to-try-to-win-case/,"Suspecting court of using AI, man injected prompts in filings to try to win case",2026-08-14T17:26:53Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/tech-policy/2026/08/state-judge-orders-kalshi-to-stop-offering-sports-bets-and-other-wagers/,State judge orders Kalshi to stop offering sports bets and other wagers,2026-08-14T17:13:14Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/information-technology/2026/08/pbs-station-fears-losing-50tb-of-data-after-being-ghosted-by-cloud-storage-provider/,PBS station fears losing 50TB of data after being ghosted by cloud storage provider,2026-08-14T17:03:54Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/space/2026/08/policy-experts-europe-stuck-between-rock-and-a-hard-place-on-launch/,"Policy experts: Europe stuck between ""rock and a hard place"" on launch",2026-08-14T16:29:21Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/gaming/2026/08/ars-live-recap-how-can-we-stop-publishers-from-killing-their-own-games/,Ars Live recap: How can we stop publishers from killing their own games?,2026-08-14T16:11:37Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/gadgets/2026/08/google-ordered-to-make-it-easier-to-download-alternative-android-app-stores/,"Judge gives Google one week to fix ""anticompetitive"" app store download in Google Play",2026-08-14T15:46:40Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/culture/2026/08/r-rated-directors-cut-of-x-files-film-restores-chris-carters-original-horror-vision/,R-rated director's cut of X-Files film restores Chris Carter's original horror vision,2026-08-14T15:18:22Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/health/2026/08/taylor-farms-connections-to-trump-admin-spurs-probe-into-cyclospora-response/,Taylor Farms' connections to Trump admin spurs probe into Cyclospora response,2026-08-14T15:03:16Z,2026-08-15T12:29:02Z
1.0,NEWS,Ars Technica AI,https://arstechnica.com/ai/2026/08/openai-and-anthropic-in-price-war-as-chinese-ai-rivals-gain-ground/,OpenAI and Anthropic in price war as Chinese AI rivals gain ground,2026-08-14T14:27:14Z,2026-08-15T12:29:02Z
