schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,AutoDesign: Meta-Harness Optimization for Long-Horizon Agentic Design,"Yaxin Luo, Haobin Jiang, Jialv Zou, Xu Huang, Wenhao Yan, Haodong Li, Zhengrong Yue, Jing Li, Xiaofu Chen, Xiaohan Zhao, Jiacheng Liu, Jiacheng Cui, Zhiqiang Shen, Xiaotong Li",http://arxiv.org/abs/2608.13560v1,https://github.com/Yaxin9Luo/AutoDesign,0,2026-08-13T17:59:57Z
1.0,RESEARCH_PAPER,OmniScientist: An Omni-Modal Omni-Discipline AI Scientist,"Bobo Li, Hao Fei, Tianjie Ju, Mong-Li Lee, Wynne Hsu",http://arxiv.org/abs/2608.13558v1,,0,2026-08-13T17:59:52Z
1.0,RESEARCH_PAPER,V-RAE: Rethinking Video Latent Spaces for Generation,"Minghui Guo, Shengqiong Wu, Hao Fei",http://arxiv.org/abs/2608.13556v1,,0,2026-08-13T17:59:43Z
1.0,RESEARCH_PAPER,HumanTracker: Towards Comprehensive and Human-Aligned Motion Tracking Benchmark,"Dairu Liu, Zekun Qi, Jiayu Zeng, Ruixi Yu, Yu Guan, Yintianrun Zhang, Xuchuan Chen, Sikai Liang, Zekai Li, Chenghuai Lin, Xinqiang Yu, Wenyao Zhang, He Wang, Li Yi",http://arxiv.org/abs/2608.13555v1,,0,2026-08-13T17:59:40Z
1.0,RESEARCH_PAPER,Defensive Boosting for Online Probabilistic Forecasting,"Georgy Noarov, Aaron Roth",http://arxiv.org/abs/2608.13554v1,,0,2026-08-13T17:59:35Z
1.0,RESEARCH_PAPER,PlayWorld: Benchmarking World Models with Agent Players over Long-Horizon Objectives,"Kaixin Ding, Xi Chen, Minghong Cai, Zhiyuan Xu, Yiyang Wang, Yuxiang Lu, Junyi Li, Shuyang Chen, Yuan Gao, Xin Tao, Pengfei Wan, Hengshuang Zhao",http://arxiv.org/abs/2608.13552v1,https://github.com/kxding/PlayWorld,0,2026-08-13T17:59:30Z
1.0,RESEARCH_PAPER,Exponential Convex Calibration Dimension for the Multi-Label Jaccard Measure,Mingyuan Zhang,http://arxiv.org/abs/2608.13549v1,,0,2026-08-13T17:59:17Z
1.0,RESEARCH_PAPER,QuoteBench: How Matched Scores Can Hide Command-Path Failures,"Shangao Li, Yao Zhang, Volker Tresp, Yuanyuan Yang",http://arxiv.org/abs/2608.13547v1,,0,2026-08-13T17:57:20Z
1.0,RESEARCH_PAPER,Alaya-EVOKE: From Linear-Scaling Supervision to Endless World,"Yuanyang Yin, Gongxuan Wang, Yifan Zhan, Chuanhao Li, Kaipeng Zhang, Feng Zhao",http://arxiv.org/abs/2608.13546v1,,0,2026-08-13T17:57:00Z
1.0,RESEARCH_PAPER,LittleLearner: Language Models Under Pedagogically Controlled Knowledge Exposure,"Fanfei Li, Jana Zeller, Manuel Prada-Corral, Thaddäus Wiedemer, Prasanna Mayilvahanan, Ryan Cotterell, Wieland Brendel",http://arxiv.org/abs/2608.13545v1,,0,2026-08-13T17:56:12Z
1.0,RESEARCH_PAPER,SCULPT: Subtractive Composition for 3D Part Generation,"Sikuang Li, Chen Yang, Jiemin Fang, Jiazhong Cen, Yuhe Wei, Jichen Pang, Wei Shen, Qi Tian",http://arxiv.org/abs/2608.13541v1,https://github.com/sculpt-part/SCULPT,23,2026-08-13T17:55:04Z
1.0,RESEARCH_PAPER,SAEVerbalizer: Generating Explanations for Sparse Autoencoder Features via Representation Verbalization,"Weihan Meng, Hongzhu Guo, Yi Jing, Dewen Liu, Zijun Yao, Xiaozhi Wang, Lei Hou, Juanzi Li",http://arxiv.org/abs/2608.13538v1,,0,2026-08-13T17:54:11Z
1.0,RESEARCH_PAPER,DARTree: Speculative Diffusion Decoding with Autoregressive Draft Trees,"Tianyi Li, Yaxin Luo, Xinyi Shang, Zhiqiang Shen",http://arxiv.org/abs/2608.13524v1,,0,2026-08-13T17:43:44Z
1.0,RESEARCH_PAPER,Vero: Can AI Agents Build Formally Verified Software Repositories?,"Zhe Ye, Hantao Lou, Yuechun Sun, Peiyang Song, Zhengxu Yan, Timothe Kasriel, Qingyang Zhang, Kaiyu Yang, Soonho Kong, Jingxuan He, Dawn Song",http://arxiv.org/abs/2608.13522v1,https://github.com/sunblaze-ucb/vero,8,2026-08-13T17:41:27Z
1.0,RESEARCH_PAPER,Exponential quantum advantage for learning signals with a single qubit,"Ishaan Kannan, Sridhar Prabhu, Saeed A. Khan, Mandar M. Sohoni, Xingrui Song, Saswata Roy, Alen Senanian, Valla Fatemi, Peter L. McMahon, Jordan Cotler",http://arxiv.org/abs/2608.13521v1,,0,2026-08-13T17:40:39Z
1.0,RESEARCH_PAPER,The data geometry of masking diffusion: Certified-optimal schedules via unmasking growth complexity,Martin J. Wainwright,http://arxiv.org/abs/2608.13520v1,,0,2026-08-13T17:40:17Z
1.0,RESEARCH_PAPER,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,"Yunsung Chung, Yingshuo Liu, Abboud F. Hassan, Han Feng, Mary M. Maleckar, Nassir Marrouche, Jihun Hamm",http://arxiv.org/abs/2608.13518v1,,0,2026-08-13T17:38:13Z
1.0,RESEARCH_PAPER,DFM Mimir v1: An Open HRM Delivering Frontier Performance at 1B Parameters Using Only Permissible Post-Training Data,"Peter Schneider-Kamp, Jacob Nielsen, Gianluca Barmina, Kenneth Enevoldsen, Lukas Galke Poech",http://arxiv.org/abs/2608.13517v1,,0,2026-08-13T17:37:53Z
1.0,RESEARCH_PAPER,Measuring Task-Agnostic Training Data Influence Across Language Model Pretraining,"Yuto Nishida, Hirokazu Kiyomaru, Yusuke Oda, Takashi Kodama, Chaoran Liu, Daisuke Kawahara, Yusuke Miyao, Max Müller-Eberstein, Masaru Isonuma",http://arxiv.org/abs/2608.13515v1,,0,2026-08-13T17:36:49Z
1.0,RESEARCH_PAPER,Bagging Robustly Learns VC Classes with Linear Sample Complexity,Omar Montasser,http://arxiv.org/abs/2608.13514v1,,0,2026-08-13T17:36:49Z
1.0,RESEARCH_PAPER,TabSOM: A tabular-to-image encoding method based on self-organizing maps,"David Chushig-Muzo, María Ángeles Rodríguez de Cara, Eva Milara, Francisco J. Lara-Abelenda, Luis Zhinin-Vera, Diego H. Peluffo-Ordóñez",http://arxiv.org/abs/2608.13513v1,,0,2026-08-13T17:35:37Z
1.0,RESEARCH_PAPER,"On the Structural Limits of Machine Learning Decision Systems: An Information-Theoretic, Interaction-Based, and Stochastic-Dynamical Perspective","Nestor R. Barraza, Gabriel Pena",http://arxiv.org/abs/2608.13510v1,,0,2026-08-13T17:34:41Z
1.0,RESEARCH_PAPER,Equivariant learning of a transferable three-dimensional classical density functional,Bingqing Cheng,http://arxiv.org/abs/2608.13506v1,,0,2026-08-13T17:32:45Z
